OBJECTID,DIST,COLOR4,Shape__Area,Shape__Length
1,1,1,31204399041.1016,831408.408381968
2,2,3,757380169.535156,163335.108632853
3,3,2,1938909991.69141,265721.241889596
4,4,3,13123173582.7227,739056.385086677
5,5,4,2358750999.54688,304456.081940453
6,6,3,725083105.722656,184302.197106327
7,7,1,61144656.2226563,45531.563405648
8,8,2,1739859363.07031,292607.648821155
9,9,1,104068968.441406,51730.3988872627
10,10,4,83180638.078125,63277.688070539
11,11,2,123292244.71875,59719.7737861343
12,12,4,865661655.375,162186.029969387
13,13,1,53562360.234375,35925.0313635265
14,14,3,57606934.6875,44029.4972937936
15,15,2,1674202734.85938,193138.549562164
16,16,1,93846100.515625,58587.5261614066
17,17,4,149493053.304688,76810.9138776933
18,18,1,302472706.644531,97843.389390663
19,19,2,168801800.628906,81731.9072199769
20,20,3,91383210.9375,51181.443943576
21,21,4,543399946.5625,124747.528858014
22,22,1,181693793.414063,89791.8559862859
23,23,4,375641201.464844,100646.762195153
24,24,3,31450387.8085938,24785.3323285868
25,25,2,112293910.703125,48992.0569277827
26,26,3,91754668.0664063,52191.4444726264
27,27,1,565022175.203125,121419.907682097
28,28,2,473169675.128906,127410.937851585
29,29,3,72098433783.6953,1249828.75780364
30,30,4,29369310.6757813,23460.5787335555
31,31,3,33696562.1484375,31403.0425574252
32,32,1,42115033.4101563,32882.9778894202
33,33,2,203832448.941406,83823.230836864
34,34,3,39725177.9570313,29772.8379612655
35,35,2,45232960.9765625,35111.2043182321
36,36,1,35722660.671875,26097.2948783105
37,37,2,26825054.3320313,21029.8885368016
38,38,3,59092581.2539063,38639.0615030073
39,39,4,47511039.7695313,36390.4730148371
40,40,3,36806210.9375,32383.5996256214
41,41,1,431578446.292969,110087.220183627
42,42,4,62736697.9140625,42437.1304847741
43,43,2,45870263.28125,44207.3221836142
44,44,1,40255717.9140625,36927.1864994505
45,45,3,49403959.1132813,47162.3458394016
46,46,2,152444097.53125,88590.8841794146
47,47,1,76366306.5664063,45961.5617473837
48,48,2,57738388.6171875,41744.941938119
49,49,4,226703173.769531,91716.463033205
50,50,1,2114390648.875,311622.187446063
51,51,3,119855125.445313,101072.330820633
52,52,2,85675035.4648438,57868.796825583
53,53,4,68974936.7929688,58262.430229531
54,54,3,429205527.320313,138313.514280256
55,55,1,103145971.515625,58782.5503773531
56,56,3,64711387.1367188,47167.6971232896
57,57,1,57769623.8085938,50606.8886736285
58,58,2,482463003.953125,140714.748950334
59,59,4,5568346429.53516,456188.341524636
60,60,3,71292294.8085938,47532.1416090433
61,61,4,433293854.027344,132239.689515299
62,62,2,80550547.1171875,52922.2597746631
63,63,1,2004023138.40234,270842.668384898
64,64,3,282840248.417969,121706.200645445
65,65,4,491434482.21875,139089.612156076
66,66,2,13966996024.3945,709944.855894985
67,67,1,16969691488.6953,777699.9815847
68,68,2,33408034890.2695,973095.215306871
69,69,4,113578125985.852,1620571.87141832
70,70,1,32190729394.9336,1022249.91883684
71,71,2,3862592512.11328,415761.013186137
72,72,1,4047455751.18359,362728.693701153
73,73,3,616503117.992188,204135.714462047
74,74,2,1739199593.94531,223125.130768175
75,75,4,3557609079.70703,327741.235859969
