OBJECTID,DIST,COLOR4,Shape__Area,Shape__Length
1,1,4,41329374268.3477,1131859.34520408
2,2,2,8406296603.36328,569357.194799704
3,3,1,5972148098.95313,557460.060902866
4,4,2,1197230808.39844,190500.875823608
5,5,4,606843437.441406,156896.972500893
6,6,1,1939414154.35938,199712.973058884
7,7,2,757729398.175781,159705.544930364
8,8,4,394276330.167969,107942.315359834
9,9,2,458394715.90625,126795.670781361
10,10,3,804196640.640625,140056.29715393
11,11,1,26401504285.2656,829756.887211727
12,12,4,71981462.2148438,52543.03338319
13,13,1,101450885.585938,64217.0139274211
14,14,3,117977094.292969,59513.5125043254
15,15,4,549247176.632813,152396.263028183
16,16,3,104695752.238281,48935.1190188245
17,17,2,153660516.949219,72579.1309684934
18,18,3,287610619.308594,95931.2243292082
19,19,1,448919577.203125,145016.956960977
20,20,3,48566184967.0938,1256720.12308208
21,21,2,454852588.761719,165618.39934422
22,22,4,316434513.980469,126699.688898941
23,23,1,145240514.082031,64279.0706581829
24,24,4,829562310.050781,185858.162931067
25,25,3,1391304195.21484,249797.327843516
26,26,1,105016546534.832,2224525.61179325
27,27,2,58123837935.5781,1663085.70721878
28,28,3,57982529043.4414,1292563.7612354
29,29,4,5357618387.69922,339690.345763169
